result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://nl.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (New York,,,,
1,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://en.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (/ ˈ f ɛ f ə l /; born 19 June 1964) is a British politician,,,,
2,duckduckgo,Boris Johnson,Boris Johnson (@BorisJohnson) | Twitter,https://twitter.com/borisjohnson,The latest Tweets from Boris Johnson (@BorisJohnson). MP for Uxbridge and South Ruislip #BackBoris. United Kingdom,100,,,
3,duckduckgo,Boris Johnson,Boris Johnson - Home | Facebook,https://www.facebook.com/borisjohnson,Boris Johnson. 729K likes. Member of Parliament for Uxbridge and South Ruislip,100,,,
4,duckduckgo,Boris Johnson,Boris Johnson | NU - Het laatste nieuws het eerst op NU.nl,https://www.nu.nl/tag/Boris%20Johnson,1 maand geleden Brexit Regering-Johnson verliest meerderheid door overloper in Brits parlement Premier Boris Johnson is zijn meerderheid in het Britse Lagerhuis kwijt. Het conservatieve parlementslid Philip Lee verliet dinsdag de Tories en is overgestapt naar de Liberal Democrats (LibDems). De regering-Johnson had maar een meerderheid van één ...,100,,,
5,duckduckgo,Boris Johnson,Parody Boris Johnson (@BorisJohnson_MP) | Twitter,https://twitter.com/BorisJohnson_MP,The latest Tweets from Parody Boris Johnson (@BorisJohnson_MP). Overcoming facts and reality through the power of optimism and blind belief. Hobbies include trashing ...,100,,,
6,duckduckgo,Boris Johnson,Boris Johnson: Last Week Tonight with John Oliver (HBO) - YouTube,https://www.youtube.com/watch?v=dXyO_MC9g3k,John Oliver explains how Britain&#x27;s new prime minister,,,,
7,duckduckgo,Boris Johnson,Boris Johnson - latest news,,,,,,
8,duckduckgo,Boris Johnson,Boris Johnson | Politics | The Guardian,https://www.theguardian.com/politics/boris-johnson,Politics live with Andrew Sparrow Brexit: Boris Johnson claims EU has not explained in detail why it objects to his alternative backstop plan - as it happened,100,,,
9,duckduckgo,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.com/news/topics/c8nq32jw8r1t/boris-johnson,Boris Johnson responds to Harry Dunn diplomatic immunity row The PM says he does not think &quot;it can be right to use the process of diplomatic immunity for this type of purpose&quot; when asked about the case of 19-year-old Harry Dunn.,100,,,
10,duckduckgo,Boris Johnson,Boris Johnson News: Latest UK Prime Minister Updates | Daily Mail Online,https://www.dailymail.co.uk/news/boris_johnson/index.html,Boris Johnson has appealed for the bloc to engage with his proposals as he admitted time is running out to get a deal. Speaking on a visit to a hospital in Watford today,,,,
11,duckduckgo,Boris Johnson,Boris Johnson&#x27;s explosive attack at Corbyn - YouTube,https://www.youtube.com/watch?v=CKvzELXosVw,BORIS Johnson today called on Brexit-blocking MPs to &quot;restore trust in democracy&quot; by allowing Britain to leave the EU at last in his first Commons speech.,100,,,
12,duckduckgo,Boris Johnson,Boris Johnson - Simple English Wikipedia,,,,,,
13,duckduckgo,Boris Johnson,Boris Johnson | Biography,,,, New York, U.S.)," American-born British journalist and Conservative Party politician who became prime minister of the United Kingdom in July 2019.""	100"
14,duckduckgo,Boris Johnson,Boris Johnson: clown wordt kamikaze - NRC,https://www.nrc.nl/nieuws/2019/07/25/boris-johnson-clown-wordt-kamikaze-a3968214,Alles wijst erop dat Boris Johnson afkoerst op een chaotisch Brits vertrek uit de EU. Zijn nieuwe regering zit vol met radicale Brexiteers. Allen hebben moeten instemmen met het scenario van een No Deal op 31 oktober.,100,,,
15,duckduckgo,Boris Johnson,Boris Johnson (@borisjohnsonmp) • Instagram photos and videos,https://www.instagram.com/borisjohnsonmp/,217.2k Followers,,,,
16,duckduckgo,Boris Johnson,Boris Johnson - De Standaard,https://www.standaard.be/tag/boris-johnson,Boris Johnson heeft donderdag zijn nieuwste voorstel om het Verenigd Koninkrijk met een akkoord uit de Europese Unie te halen,,,,
17,duckduckgo,Boris Johnson,Boris Johnson - IMDb,https://www.imdb.com/name/nm1296124/,Boris Johnson,,,,
18,duckduckgo,Boris Johnson,Boris Johnson | Fox News,https://www.foxnews.com/category/person/boris-johnson,Boris Johnson is a British politician and journalist who has been a Member of Parliament on two occasions,,,,
19,duckduckgo,Boris Johnson,Boris Johnson | HLN,https://www.hln.be/tag/boris-johnson,Boris Johnson krijgt schandaal bovenop zijn brexitperikelen. HLN Plus Boris Johnson heeft er nog een kopzorg bij — naast de vraag hoe hij zijn land van Europa losgescheurd krijgt. De krant The Times heeft immers...,100,,,
20,duckduckgo,Boris Johnson,Boris Johnson: &#x27;Betalen aan de EU is niet nodig bij &#x27;no deal-Brexit ...,https://www.nu.nl/brexit/5982995/boris-johnson-betalen-aan-de-eu-is-niet-nodig-bij-no-deal-brexit.html,De Britse premier Boris Johnson vindt dat zijn land wettelijk niet verplicht is om alle vertrekkosten te betalen aan de Europese Unie als er op 31 oktober geen akkoord is tussen Londen en Brussel over Brexit. Johnson zei dat zondag tegen de Britse zender Sky News.,100,,,
21,duckduckgo,Boris Johnson,Boris Johnson latest news,,,,,,
22,duckduckgo,Boris Johnson,Stanley Johnson (writer) - Wikipedia,https://en.wikipedia.org/wiki/Stanley_Johnson_(writer),Johnson said his son Boris Johnson&#x27;s comments that Muslim women who wear burkas look like &quot;letterboxes&quot; and &quot;bank robbers&quot; did not go far enough and that criticism of the comments had been &quot;synthetic indignation&quot; created by political opponents of Boris. In October 2018 Johnson said that,,,,
23,duckduckgo,Boris Johnson,Boris Johnson - Sky News,https://news.sky.com/topic/boris-johnson-5853,Sky News - First for Breaking News,,,,
24,duckduckgo,Boris Johnson,Boris Johnson - All the latest news and updates- The Sun,https://www.thesun.co.uk/who/boris-johnson/,Boris Johnson is the Prime Minister and has been the MP for Uxbridge and South Ruislip since 2015,,,,
25,duckduckgo,Boris Johnson,Boris Johnson lijdt nederlaag | Buitenland | Telegraaf.nl,https://www.telegraaf.nl/nieuws/1074584740/boris-johnson-lijdt-nederlaag,Daarmee worden nieuwe verkiezingen onvermijdelijk. Premier Boris Johnson heeft immers duidelijk gemaakt dat hij onder geen enkele omstandigheid om uitstel zal vragen. Hij heeft echter niet langer de bevoegdheid om simpelweg verkiezingen uit te schrijven.,100,,,
26,duckduckgo,Boris Johnson,Boris Johnson Net Worth 2019: Money,,,,,,
27,duckduckgo,Boris Johnson,Boris Johnson: hoe bozer de Hulk,,,,,,
28,duckduckgo,Boris Johnson,Waarom ik de kant kies van Boris Johnson | De Volkskrant,https://www.volkskrant.nl/columns-opinie/waarom-ik-de-kant-kies-van-boris-johnson~b1f1ca0a/,Opinie Boris Johnson Waarom ik de kant kies van Boris Johnson. Er zijn zeker drie redenen waarom Boris Johnson als premier nu het beste is voor Groot-Brittannië,,,,
29,duckduckgo,Boris Johnson,Boris Johnson MP - Latest news &amp; opinion on the Prime Minister - Mirror ...,https://www.mirror.co.uk/all-about/boris-johnson,Boris Johnson Boris Johnson tells police to &#x27;use full force of law&#x27; against Extinction Rebellion Boris Johnson said people have the right to protest but must do it within the law as Extinction Rebellion activists brought parts of London to a standstill,,,,
30,duckduckgo,Boris Johnson,Website for Boris Johnson,,,,,,
31,duckduckgo,Boris Johnson,NewsNow: Boris Johnson news | Breaking News 24/7,https://www.newsnow.co.uk/h/UK/Government+&+Politics/Conservatives/Boris+Johnson,Breaking news headlines about Boris Johnson linking to 1,,,,
32,duckduckgo,Boris Johnson,Boris Johnson: Latest as he takes over as prime minister and picks his ...,https://www.bbc.com/news/live/uk-politics-49073992,That finishes our coverage of Boris Johnson&#x27;s first day as prime minister. It came with the biggest ever clear out of cabinet without a change of party in power. BBC political editor Laura Kuensberg said it was &quot;not a reshuffle it&#x27;s a new government&quot;. Tomorrow,,,,
33,duckduckgo,Boris Johnson,boris johnson | Het Parool,https://www.parool.nl/tag/boris-johnson,Het laatste nieuws met duiding van redacteuren,,,,
34,duckduckgo,Boris Johnson,Boris Johnson Family Tree &amp; History,,,,,,
35,duckduckgo,Boris Johnson,Johnson,,,,,,
36,duckduckgo,Boris Johnson,BBC - Who Do You Think You Are? - Boris Johnson - How we did it ...,https://www.bbc.co.uk/whodoyouthinkyouare/new-stories/boris-johnson/how-we-did-it_1.shtml,Boris&#x27;s grandfather,,,,
37,duckduckgo,Boris Johnson,Boris Johnson vs. parliament - POLITICO,https://www.politico.eu/article/boris-johnson-vs-parliament/,After a summer of shadow-boxing and speculation,,,,
